"id","sentiment","header","desc","date","author","text"
3957,-1,"How We Tracked Every Damaged or Destroyed Building in Ukraine.","This is the first comprehensive map showing the destruction of the war in Ukraine. Using detailed analysis of years of satellite data, it shows every building that has been damaged or destroyed since Russia attacked in 2022.",2024-06-04,"Marco Hernandez and Nikolay Nikolov","How We Tracked Every Damaged or Destroyed Building in Ukraine. This is the first comprehensive map showing the destruction of the war in Ukraine. Using detailed analysis of years of satellite data, it shows every building that has been damaged or destroyed since Russia attacked in 2022."
3958,-2,"In Former Soviet States, a Tug of War Between East and West.","Geopolitical rivalry, intensified by fighting in Ukraine, is amplifying domestic struggles in countries like Georgia and Moldova whose people are split on which side to support.",2024-06-03,"Andrew Higgins","In Former Soviet States, a Tug of War Between East and West. Geopolitical rivalry, intensified by fighting in Ukraine, is amplifying domestic struggles in countries like Georgia and Moldova whose people are split on which side to support."
3959,-1,"Wednesday Briefing: Modi’s Bruising Path to a Third Term.","Also, a Times analysis of the destruction in Ukraine.",2024-06-04,"Amelia Nierenberg","Wednesday Briefing: Modi’s Bruising Path to a Third Term. Also, a Times analysis of the destruction in Ukraine."
3960,-3,"As Ukraine’s Summer Starts With Blackouts, Worries Over Winter Begin.","Recent rolling power outages have raised alarm about what will happen when cold weather arrives and energy consumption goes even higher.",2024-06-05,"Constant Méheut and Oleksandra Mykolyshyn","As Ukraine’s Summer Starts With Blackouts, Worries Over Winter Begin. Recent rolling power outages have raised alarm about what will happen when cold weather arrives and energy consumption goes even higher."
3961,1,"Between the Offensives: Images From a Journey in Ukraine’s Borderland.","Photographs from two trips along Ukraine’s northeastern border regions, in the months before Russia renewed an offensive there, reveal loss and transformation.",2024-06-07,"David Guttenfelder and Peter Robins","Between the Offensives: Images From a Journey in Ukraine’s Borderland. Photographs from two trips along Ukraine’s northeastern border regions, in the months before Russia renewed an offensive there, reveal loss and transformation."
3962,-4,"Bombed and Bruised, a City Braces for Another Russian Onslaught.","Residents of Sumy, in northeastern Ukraine, repelled Moscow’s forces in 2022. Now, after months of punishing airstrikes, Ukrainian officials say the Kremlin is preparing a new offensive.",2024-06-06,"Carlotta Gall and Oleksandr Chubko","Bombed and Bruised, a City Braces for Another Russian Onslaught. Residents of Sumy, in northeastern Ukraine, repelled Moscow’s forces in 2022. Now, after months of punishing airstrikes, Ukrainian officials say the Kremlin is preparing a new offensive."
3963,3,"Biden Links Fight for Ukraine With Allied Effort on D-Day.","Speaking in Normandy, the president argued that similar principles were at stake in both wars: the defense of freedom and a rules-based international order.",2024-06-06,"Michael D. Shear and Peter Baker","Biden Links Fight for Ukraine With Allied Effort on D-Day. Speaking in Normandy, the president argued that similar principles were at stake in both wars: the defense of freedom and a rules-based international order."
3964,4,"Zelensky Shares Emotional Moment With U.S. Veteran at D-Day Ceremony.","The veteran, Melvin Hurwitz, embraced the Ukrainian president and called him “the savior of the people.” Mr. Zelensky told Mr. Hurwitz that he and his fellow World War II veterans had “saved Europe.”",2024-06-06,"Orlando Mayorquín","Zelensky Shares Emotional Moment With U.S. Veteran at D-Day Ceremony. The veteran, Melvin Hurwitz, embraced the Ukrainian president and called him “the savior of the people.” Mr. Zelensky told Mr. Hurwitz that he and his fellow World War II veterans had “saved Europe.”"
3965,-3,"Russia Detains a French National Suspected of Collecting Military Data.","The detention is the latest in a series in which foreigners have been arrested or held against their will in Russia, exacerbating tensions with the West.",2024-06-06,"Ivan Nechepurenko","Russia Detains a French National Suspected of Collecting Military Data. The detention is the latest in a series in which foreigners have been arrested or held against their will in Russia, exacerbating tensions with the West."
3966,3,"The E.U. Is Voting. It’s Never Mattered More.","Hundreds of millions of voters are electing a European Parliament this weekend. The outcome will help tip the balance of the continent’s struggle between unity and nationalism.",2024-06-07,"Matina Stevis-Gridneff","The E.U. Is Voting. It’s Never Mattered More. Hundreds of millions of voters are electing a European Parliament this weekend. The outcome will help tip the balance of the continent’s struggle between unity and nationalism."
3967,-1,"D-Day at 80.","Veterans of the pivotal battle of World War II are disappearing. Europe, facing new conflict, recalls what their comrades died for.",2024-06-06,"Roger Cohen and Laetitia Vancon","D-Day at 80. Veterans of the pivotal battle of World War II are disappearing. Europe, facing new conflict, recalls what their comrades died for."
3968,-3,"A Russian American Is Sentenced in Russia Over Social Media Posts.","The latest detention of an American national in Russia has renewed fears that the Kremlin is seeking to use U.S. citizens as bargaining chips.",2024-06-05,"Ivan Nechepurenko and Alina Lobzina","A Russian American Is Sentenced in Russia Over Social Media Posts. The latest detention of an American national in Russia has renewed fears that the Kremlin is seeking to use U.S. citizens as bargaining chips."
3969,1,"Slovak Prime Minister Speaks Publicly for First Time Since Assassination Attempt.","Robert Fico said in a video address that he hoped to return to work in the coming weeks. He blamed the political opposition for the attack, a notion that the parties have strongly denied.",2024-06-05,"Jesus Jiménez and Sara Cincurova","Slovak Prime Minister Speaks Publicly for First Time Since Assassination Attempt. Robert Fico said in a video address that he hoped to return to work in the coming weeks. He blamed the political opposition for the attack, a notion that the parties have strongly denied."
3970,4,"Energy Drinks Boost Ukraine’s Soldiers, and Its Economy.","Cans packed with caffeine and branded with patriotic machismo have become an essential antidote to the stresses of war.",2024-06-08,"Jeffrey Gettleman","Energy Drinks Boost Ukraine’s Soldiers, and Its Economy. Cans packed with caffeine and branded with patriotic machismo have become an essential antidote to the stresses of war."
3971,3,"Biden Straddles the Patriotic and the Political in Speech at Normandy.","The president said “echoes of 1944 are summoning us” during his address that honored the valor of D-Day fighters.",2024-06-07,"Peter Baker and Michael D. Shear","Biden Straddles the Patriotic and the Political in Speech at Normandy. The president said “echoes of 1944 are summoning us” during his address that honored the valor of D-Day fighters."
3972,1,"As Fighting Rages in Ukraine, a Struggle Is On for Artillery Supremacy.","Ukrainian forces say U.S. shells are making a difference. Across the border, they say, Russia is trying to get its artillery nearer targets like the city of Kharkiv.",2024-06-07,"Maria Varenikova","As Fighting Rages in Ukraine, a Struggle Is On for Artillery Supremacy. Ukrainian forces say U.S. shells are making a difference. Across the border, they say, Russia is trying to get its artillery nearer targets like the city of Kharkiv."
3973,1,"Macron Hosts Biden in Paris, Honoring a Not Always Easy Bond.","The friendship between France and the U.S. endures. But tensions have mounted over the wars in Gaza and Ukraine, and how Europe can step out of America’s shadow.",2024-06-08,"Roger Cohen and Peter Baker","Macron Hosts Biden in Paris, Honoring a Not Always Easy Bond. The friendship between France and the U.S. endures. But tensions have mounted over the wars in Gaza and Ukraine, and how Europe can step out of America’s shadow."
3974,1,"Biden and Macron Talk Togetherness, With No Mention of Discord Over Gaza.","The two presidents, in a brief appearance before reporters, declined to take questions, in a departure from tradition.",2024-06-08,"Michael D. Shear and Peter Baker","Biden and Macron Talk Togetherness, With No Mention of Discord Over Gaza. The two presidents, in a brief appearance before reporters, declined to take questions, in a departure from tradition."
3975,3,"French-American Friendship in Four Courses.","Under Emmanuel Macron, “culinary diplomacy” is back on the menu, with a lavish dinner fortifying an old alliance at a tense historical moment.",2024-06-08,"Roger Cohen","French-American Friendship in Four Courses. Under Emmanuel Macron, “culinary diplomacy” is back on the menu, with a lavish dinner fortifying an old alliance at a tense historical moment."
3976,1,"The E.U. Votes: What We’re Watching For.","The main things to know as voters in 27 countries head to the ballot box to shape the next five years of European Union policies.",2024-06-09,"Matina Stevis-Gridneff and Sarah Hurtes","The E.U. Votes: What We’re Watching For. The main things to know as voters in 27 countries head to the ballot box to shape the next five years of European Union policies."
3977,3,"Jordan Bardella, the New Face of France’s Surging Right.","Charismatic and clean cut, shorn of the Le Pen name, the young National Rally leader took his party to its blockbuster showing in European elections on Sunday.",2024-06-08,"Roger Cohen","Jordan Bardella, the New Face of France’s Surging Right. Charismatic and clean cut, shorn of the Le Pen name, the young National Rally leader took his party to its blockbuster showing in European elections on Sunday."
3978,-2,"British Leader Apologizes for Leaving D-Day Commemoration Early.","Prime Minister Rishi Sunak conceded that he made a major public relations misstep in the heat of a general election campaign.",2024-06-07,"Mark Landler","British Leader Apologizes for Leaving D-Day Commemoration Early. Prime Minister Rishi Sunak conceded that he made a major public relations misstep in the heat of a general election campaign."
3979,1,"Their City Has a Plaque From Putin. They Want Zelensky to Tear It Down.","Some residents of Bari, Italy, hope Ukraine’s president will drop by while at a nearby summit to help rid them of a memento of links with Russia.",2024-06-10,"Lara Jakes","Their City Has a Plaque From Putin. They Want Zelensky to Tear It Down. Some residents of Bari, Italy, hope Ukraine’s president will drop by while at a nearby summit to help rid them of a memento of links with Russia."
3980,-3,"Reconstruction Official Resigns, Highlighting Tensions in Ukraine.","The departure of the official, who had pointed up mismanagement of funds, was a blow to government efforts to assuage allies’ concerns about how aid is spent.",2024-06-10,"Andrew E. Kramer","Reconstruction Official Resigns, Highlighting Tensions in Ukraine. The departure of the official, who had pointed up mismanagement of funds, was a blow to government efforts to assuage allies’ concerns about how aid is spent."
3981,-2,"Russia Releases Female Prison Inmates to Join Ukraine War.","Tens of thousands of male convicts have been freed to fight in Ukraine. It is not clear if a small contingent of female volunteers released from a prison portends wider use of female soldiers.",2024-06-10,"Ekaterina Bodyagina and Anatoly Kurmanaev","Russia Releases Female Prison Inmates to Join Ukraine War. Tens of thousands of male convicts have been freed to fight in Ukraine. It is not clear if a small contingent of female volunteers released from a prison portends wider use of female soldiers."
3982,2,"Ukrainian Activist Traces Roots of War in ‘Centuries of Russian Colonization’.","One Ukrainian researcher and podcaster is a leading voice in efforts to rethink Ukrainian-Russian relations through the prism of colonialism.",2024-06-09,"Constant Méheut","Ukrainian Activist Traces Roots of War in ‘Centuries of Russian Colonization’. One Ukrainian researcher and podcaster is a leading voice in efforts to rethink Ukrainian-Russian relations through the prism of colonialism."
3983,3,"Sunny Days in Moscow.","A single image of a blustery day in wartime Moscow captures the feeling of triumph sweeping through Russia.",2024-06-10,"Nanna Heitmann","Sunny Days in Moscow. A single image of a blustery day in wartime Moscow captures the feeling of triumph sweeping through Russia."
3984,4,"Buoyed by Election, Meloni Basks in Spotlight as Italy Hosts G7.","The Italian prime minister was a rare leader to be fortified by the vote for the European Parliament. This week she has a chance to show her influence on an even broader stage.",2024-06-11,"Emma Bubola","Buoyed by Election, Meloni Basks in Spotlight as Italy Hosts G7. The Italian prime minister was a rare leader to be fortified by the vote for the European Parliament. This week she has a chance to show her influence on an even broader stage."
3985,-3,"Battered by Far Right in E.U. Vote, Macron Calls for New Elections in France.","The president’s decision, on the eve of the summer Olympic Games that begin in Paris in July, ushered in a period of deep political uncertainty in France.",2024-06-09,"Roger Cohen and Aurelien Breeden","Battered by Far Right in E.U. Vote, Macron Calls for New Elections in France. The president’s decision, on the eve of the summer Olympic Games that begin in Paris in July, ushered in a period of deep political uncertainty in France."
3986,-2,"In E.U. Elections, the Center Holds, but the Far Right Still Wreaks Havoc.","Voters in the European Union delivered strong gains to anti-immigrant, nationalist parties, challenging leaders in Germany and France, and unsettling the political establishment.",2024-06-09,"Matina Stevis-Gridneff","In E.U. Elections, the Center Holds, but the Far Right Still Wreaks Havoc. Voters in the European Union delivered strong gains to anti-immigrant, nationalist parties, challenging leaders in Germany and France, and unsettling the political establishment."
3987,-1,"Iran Names Six Candidates for President, Including Parliament Speaker.","The June 28 election to succeed President Ebrahim Raisi, who died in a helicopter crash last month, comes as the country faces acute domestic and international challenges.",2024-06-09,"Matthew Mpoke Bigg","Iran Names Six Candidates for President, Including Parliament Speaker. The June 28 election to succeed President Ebrahim Raisi, who died in a helicopter crash last month, comes as the country faces acute domestic and international challenges."
3988,0,"In Calling Elections in France, Macron Makes a Huge Gamble.","The president has challenged voters to test the sincerity of their support for the far right in European elections. Were the French letting off steam, or did they really mean it?",2024-06-10,"Roger Cohen","In Calling Elections in France, Macron Makes a Huge Gamble. The president has challenged voters to test the sincerity of their support for the far right in European elections. Were the French letting off steam, or did they really mean it?"
3989,1,"Every Dollar Counts. To Pay for the War, Ukraine Embraces Privatization.","The government hopes to sell off a range of companies to fund the military and stabilize the economy as the grueling conflict with Russia drains its coffers.",2024-06-12,"Constant Méheut and Daria Mitiuk","Every Dollar Counts. To Pay for the War, Ukraine Embraces Privatization. The government hopes to sell off a range of companies to fund the military and stabilize the economy as the grueling conflict with Russia drains its coffers."
3990,3,"Ukraine Says It Shot Down Most of a Russian Missile and Drone Barrage.","Drawing on replenished supplies, Ukraine used mostly Western-provided air defense systems to deter the overnight assault.",2024-06-12,"Andrew E. Kramer","Ukraine Says It Shot Down Most of a Russian Missile and Drone Barrage. Drawing on replenished supplies, Ukraine used mostly Western-provided air defense systems to deter the overnight assault."
3991,0,"Russian Warships Enter Havana Harbor as Part of Planned Exercises.","Experts called the naval exercises routine but also a show of strength as Washington maintains military support for Ukraine in its war against Russia.",2024-06-12,"Eve Sampson","Russian Warships Enter Havana Harbor as Part of Planned Exercises. Experts called the naval exercises routine but also a show of strength as Washington maintains military support for Ukraine in its war against Russia."
3992,-2,"Weakened Leaders of the West Gather in Italy to Discuss an Unruly World.","The Group of 7 gathers major industrialized countries, but its leaders are politically weak and Ukraine and Gaza remain unsolved.",2024-06-13,"Mark Landler and Steven Erlanger","Weakened Leaders of the West Gather in Italy to Discuss an Unruly World. The Group of 7 gathers major industrialized countries, but its leaders are politically weak and Ukraine and Gaza remain unsolved."
3993,-2,"In Wake of Election Defeat, Germany’s Weakened Leader Will Slog On.","Chancellor Olaf Scholz and his governing coalition emerged battered from the vote for the European Parliament. But a snap election seems unlikely.",2024-06-12,"Christopher F. Schuetze and Sarah Maslin Nir","In Wake of Election Defeat, Germany’s Weakened Leader Will Slog On. Chancellor Olaf Scholz and his governing coalition emerged battered from the vote for the European Parliament. But a snap election seems unlikely."
3994,-1,"Christophe Deloire, Who Fought for Threatened Journalists, Dies at 53.","As the leader and spokesman for Reporters Without Borders, he rescued some, sought refuge for others and lobbied for pluralism in the press.",2024-06-12,"Sam Roberts","Christophe Deloire, Who Fought for Threatened Journalists, Dies at 53. As the leader and spokesman for Reporters Without Borders, he rescued some, sought refuge for others and lobbied for pluralism in the press."
3995,-3,"Pope Francis Is Accused of Using a Homophobic Slur Again.","Two prominent Italian news agencies said the pontiff used the term on Tuesday during a meeting with priests, after he was accused of uttering the same word last month while speaking with Italian bishops.",2024-06-11,"Emma Bubola","Pope Francis Is Accused of Using a Homophobic Slur Again. Two prominent Italian news agencies said the pontiff used the term on Tuesday during a meeting with priests, after he was accused of uttering the same word last month while speaking with Italian bishops."
3996,1,"In China’s Backyard, America Has Become a Humbler Superpower.","The United States no longer towers over the Asia-Pacific, dictating terms to its allies. Instead, it’s offering to be a teammate and share responsibilities.",2024-06-13,"Damien Cave","In China’s Backyard, America Has Become a Humbler Superpower. The United States no longer towers over the Asia-Pacific, dictating terms to its allies. Instead, it’s offering to be a teammate and share responsibilities."
3997,3,"Saudi Arabia’s Next Billion-Dollar Sports Play: A Boxing Takeover.","A proposal awaiting financing would attempt to bring together dozens of the world’s best boxers in a single, Saudi-run pro league.",2024-06-12,"Tariq Panja","Saudi Arabia’s Next Billion-Dollar Sports Play: A Boxing Takeover. A proposal awaiting financing would attempt to bring together dozens of the world’s best boxers in a single, Saudi-run pro league."
3998,-1,"Wednesday Briefing: Hunter Biden Found Guilty on Gun Charges.","Also, pressure on Israel and Hamas to reach a deal.",2024-06-11,"Amelia Nierenberg","Wednesday Briefing: Hunter Biden Found Guilty on Gun Charges. Also, pressure on Israel and Hamas to reach a deal."
3999,2,"Ukraine Welcomes Pledges of More Military Aid With Cautious Optimism.","Kyiv signed security pacts with several Western allies this week. Whether they will fundamentally change the course of the war, or endure beyond looming elections elsewhere, is unclear.",2024-06-14,"Constant Méheut","Ukraine Welcomes Pledges of More Military Aid With Cautious Optimism. Kyiv signed security pacts with several Western allies this week. Whether they will fundamentally change the course of the war, or endure beyond looming elections elsewhere, is unclear."
4000,4,"Japan Commits $4.5 Billion for Ukraine, Zelensky Says.","The agreement underscores Japan’s efforts to strengthen its security and diplomatic ties with Europe after the full-scale conflict began in 2022.",2024-06-13,"Tim Balk","Japan Commits $4.5 Billion for Ukraine, Zelensky Says. The agreement underscores Japan’s efforts to strengthen its security and diplomatic ties with Europe after the full-scale conflict began in 2022."
4001,-2,"Ukraine Stalled Russia Near the Border. This Town Has Paid the Price.","Faced with an assault from the northeast, Ukrainian forces made their stand in Vovchansk. The front line is still there, but little else is.",2024-06-13,"Finbarr O’Reilly and Maria Varenikova","Ukraine Stalled Russia Near the Border. This Town Has Paid the Price. Faced with an assault from the northeast, Ukrainian forces made their stand in Vovchansk. The front line is still there, but little else is."
4002,-3,"Putin Makes Cease-Fire Offer With Sweeping Demands on Ukraine’s Territory.","Ukraine denounced the offer, saying that Mr. Putin was “afraid of real peace.” The Russian leader made the remarks one day before a peace summit organized by Kyiv.",2024-06-14,"Ivan Nechepurenko and Paul Sonne","Putin Makes Cease-Fire Offer With Sweeping Demands on Ukraine’s Territory. Ukraine denounced the offer, saying that Mr. Putin was “afraid of real peace.” The Russian leader made the remarks one day before a peace summit organized by Kyiv."
4003,1,"G7 Leaders Agree on $50 Billion Loan to Ukraine From Frozen Russian Assets.","The agreement comes as Ukraine has been forced to sell some state assets and as the momentum in the war has shifted in favor of Russia.",2024-06-13,"Steven Erlanger and David E. Sanger","G7 Leaders Agree on $50 Billion Loan to Ukraine From Frozen Russian Assets. The agreement comes as Ukraine has been forced to sell some state assets and as the momentum in the war has shifted in favor of Russia."
4004,1,"G7 Agrees to $50 Billion Ukraine Loan Backed by Russian Assets. How Will It Work?.","The United States and others plan to give the sum to Kyiv, with the interest from Moscow’s assets frozen in the West used to repay it. But many of the details about the arrangement are unclear.",2024-06-14,"Steven Erlanger","G7 Agrees to $50 Billion Ukraine Loan Backed by Russian Assets. How Will It Work?. The United States and others plan to give the sum to Kyiv, with the interest from Moscow’s assets frozen in the West used to repay it. But many of the details about the arrangement are unclear."
4005,4,"A U.S. pact aims to help Ukraine’s military into the future, officials say.","The deal will outline a long-term effort to train and equip Ukraine’s forces, promising to provide more modern weapons and help the Ukrainians build their own self-sustaining military industry that is capable of producing its own arms, U.S. officials said.",2024-06-13,"David E. Sanger","A U.S. pact aims to help Ukraine’s military into the future, officials say. The deal will outline a long-term effort to train and equip Ukraine’s forces, promising to provide more modern weapons and help the Ukrainians build their own self-sustaining military industry that is capable of producing its own arms, U.S. officials said."
4006,1,"Will Biden’s Help for Ukraine Come Fast Enough and Last Long Enough?.","The president signed a 10-year security pact with Ukraine and promised, with E.U. help, a $50 billion loan. But will the money arrive in time to turn the tide, and will the deal outlast the election in November?",2024-06-13,"David E. Sanger","Will Biden’s Help for Ukraine Come Fast Enough and Last Long Enough?. The president signed a 10-year security pact with Ukraine and promised, with E.U. help, a $50 billion loan. But will the money arrive in time to turn the tide, and will the deal outlast the election in November?"
4007,3,"At a meeting of a Ukraine defense alliance, Austin pledges to keep sending military aid.","",2024-06-13,"John Ismay","At a meeting of a Ukraine defense alliance, Austin pledges to keep sending military aid. "
4008,2,"G7 Leaders, Expanding the Circle, Shift Focus to Migration and the South.","Leaders from India, Brazil, the Middle East and Africa joined discussions in a nod to the changing global balance of power.",2024-06-14,"Mark Landler and Steven Erlanger","G7 Leaders, Expanding the Circle, Shift Focus to Migration and the South. Leaders from India, Brazil, the Middle East and Africa joined discussions in a nod to the changing global balance of power."
4009,0,"Inside the Chechen Units Helping to Fight Russia’s War.","After hundreds of years of enmity with Russia, Chechens are deploying to Ukraine to fight Moscow’s war.",2024-06-16,"Nanna Heitmann and Neil MacFarquhar","Inside the Chechen Units Helping to Fight Russia’s War. After hundreds of years of enmity with Russia, Chechens are deploying to Ukraine to fight Moscow’s war."
4010,-1,"The Sticking Points That Kept Russia and Ukraine Apart.","Documents from 2022 shed new light on what prevented Ukraine and Russia from ending the war — and what would complicate a future negotiation.",2024-06-15,"Anton Troianovski and Michael Schwirtz","The Sticking Points That Kept Russia and Ukraine Apart. Documents from 2022 shed new light on what prevented Ukraine and Russia from ending the war — and what would complicate a future negotiation."
4011,-2,"Ukraine-Russia Peace Is as Elusive as Ever. But in 2022 They Were Talking.","Representatives from the warring nations held peace talks in the early weeks of the Russian invasion. They fizzled. Documents from those talks show why any new ones will face major obstacles.",2024-06-15,"Anton Troianovski, Adam Entous and Michael Schwirtz","Ukraine-Russia Peace Is as Elusive as Ever. But in 2022 They Were Talking. Representatives from the warring nations held peace talks in the early weeks of the Russian invasion. They fizzled. Documents from those talks show why any new ones will face major obstacles."
4012,2,"More Than 80 Nations Back Talks to Ease Path to Peace in Ukraine.","Meeting in Switzerland, world leaders backed a joint statement urging more diplomacy, but were divided on how to engage Russia.",2024-06-16,"Anton Troianovski","More Than 80 Nations Back Talks to Ease Path to Peace in Ukraine. Meeting in Switzerland, world leaders backed a joint statement urging more diplomacy, but were divided on how to engage Russia."
4013,-1,"Ukraine Peace Talks Held in Switzerland, Though Russia Isn’t Invited.","Kyiv hopes to garner nations’ support for three points in its peace proposal, but it’s a hard sell, with China and Brazil declining to send high-level delegations.",2024-06-15,"Zolan Kanno-Youngs, Anton Troianovski and Andrew E. Kramer","Ukraine Peace Talks Held in Switzerland, Though Russia Isn’t Invited. Kyiv hopes to garner nations’ support for three points in its peace proposal, but it’s a hard sell, with China and Brazil declining to send high-level delegations."
4014,3,"Western Anxiety Makes for an Unexpectedly Smooth G7 Summit.","Political weakness, intractable wars in Ukraine and in the Middle East, and challenges from Russia and China combined to create solidarity behind American leadership.",2024-06-15,"Steven Erlanger","Western Anxiety Makes for an Unexpectedly Smooth G7 Summit. Political weakness, intractable wars in Ukraine and in the Middle East, and challenges from Russia and China combined to create solidarity behind American leadership."
4015,-2,"Russian Forces Quash Prison Mutiny Led by Terrorism Suspects, State Media Reports.","The assailants had taken two guards hostage and were killed, the prison service said.",2024-06-16,"Anatoly Kurmanaev","Russian Forces Quash Prison Mutiny Led by Terrorism Suspects, State Media Reports. The assailants had taken two guards hostage and were killed, the prison service said."
4016,-3,"It’s Not Just Russia: China Joins the G7’s List of Adversaries.","While not invited to the Group of 7 meeting, China was still a major presence, with the summit’s final communiqué referencing the country 28 times, almost always as a malign force.",2024-06-15,"David E. Sanger","It’s Not Just Russia: China Joins the G7’s List of Adversaries. While not invited to the Group of 7 meeting, China was still a major presence, with the summit’s final communiqué referencing the country 28 times, almost always as a malign force."
4017,2,"America’s Voice in Taiwan Has Some Parting Advice About China.","Worries about Chinese belligerence rose during Sandra Oudkirk’s three years in Taipei. As she leaves, she is seeking to assure Taiwan of continued U.S. support.",2024-06-17,"Chris Buckley and Amy Chang Chien","America’s Voice in Taiwan Has Some Parting Advice About China. Worries about Chinese belligerence rose during Sandra Oudkirk’s three years in Taipei. As she leaves, she is seeking to assure Taiwan of continued U.S. support."
4018,-1,"The Greens Are Dead. Long Live the Greens!.","Europe’s climate change-minded parties performed poorly in the European Union elections. Is the once ambitious European green movement over, or could its electoral crash launch a rebirth?",2024-06-16,"Matina Stevis-Gridneff","The Greens Are Dead. Long Live the Greens!. Europe’s climate change-minded parties performed poorly in the European Union elections. Is the once ambitious European green movement over, or could its electoral crash launch a rebirth?"
4019,-2,"A Battlefield Break to Cheer Ukraine’s Soccer Team in Euro 2024.","Soldiers huddled in a bunker with soft drinks and chips to watch Ukraine face Romania, only to suffer heartbreak.",2024-06-17,"Maria Varenikova and Oleksandra Mykolyshyn","A Battlefield Break to Cheer Ukraine’s Soccer Team in Euro 2024. Soldiers huddled in a bunker with soft drinks and chips to watch Ukraine face Romania, only to suffer heartbreak."
4020,-3,"‘A Big Step Back’: In Ukraine, Concerns Mount Over Narrowing Press Freedoms.","Journalists say they are subject to increasing restrictions and pressure from the government of President Volodymyr Zelensky, adding that the measures go beyond wartime security needs.",2024-06-18,"Andrew E. Kramer, Maria Varenikova and Constant Méheut","‘A Big Step Back’: In Ukraine, Concerns Mount Over Narrowing Press Freedoms. Journalists say they are subject to increasing restrictions and pressure from the government of President Volodymyr Zelensky, adding that the measures go beyond wartime security needs."
4021,-2,"Putin Arrives in North Korea as Ukraine War Redefines Ties With Kim.","President Vladimir V. Putin’s military needs have prompted the Kremlin to strengthen ties with the authoritarian government of Kim Jong-un, which is well stocked in munitions.",2024-06-18,"Paul Sonne","Putin Arrives in North Korea as Ukraine War Redefines Ties With Kim. President Vladimir V. Putin’s military needs have prompted the Kremlin to strengthen ties with the authoritarian government of Kim Jong-un, which is well stocked in munitions."
4022,-2,"What Weapons Is North Korea Accused of Supplying to Russia?.","Moscow needs conventional arms like artillery shells and missiles that North Korea could provide to give it an edge in its war of attrition in Ukraine.",2024-06-17,"Lara Jakes","What Weapons Is North Korea Accused of Supplying to Russia?. Moscow needs conventional arms like artillery shells and missiles that North Korea could provide to give it an edge in its war of attrition in Ukraine."
4023,-1,"Blast Shelters and Radar Jamming: A Russian City Adapts to War.","While in Moscow the fighting feels far away, residents of Belgorod, 25 miles from the border with Ukraine, have learned to duck for cover when the sirens wail.",2024-06-17,"Valerie Hopkins and Nanna Heitmann","Blast Shelters and Radar Jamming: A Russian City Adapts to War. While in Moscow the fighting feels far away, residents of Belgorod, 25 miles from the border with Ukraine, have learned to duck for cover when the sirens wail."
4024,-2,"Putin and Kim Sign Pact Pledging Mutual Support Against ‘Aggression’.","A need for munitions to use against Ukraine is pushing Russia’s leader to deepen his ties with North Korea, raising alarms in the West. The text of the agreement was not immediately released.",2024-06-19,"Choe Sang-Hun and Paul Sonne","Putin and Kim Sign Pact Pledging Mutual Support Against ‘Aggression’. A need for munitions to use against Ukraine is pushing Russia’s leader to deepen his ties with North Korea, raising alarms in the West. The text of the agreement was not immediately released."
4025,-3,"In Need of Munitions, Putin to Visit North Korea.","<U+200B>Seeking more weapons for the war in Ukraine, the Russian president plans to return to the country on Tuesday for the first time in nearly a quarter-century.",2024-06-17,"Choe Sang-Hun","In Need of Munitions, Putin to Visit North Korea. <U+200B>Seeking more weapons for the war in Ukraine, the Russian president plans to return to the country on Tuesday for the first time in nearly a quarter-century."
4026,-1,"Russia Sets Date for Start of Evan Gershkovich’s Trial.","The announcement of a hearing next week is the most significant movement in the Wall Street Journal reporter’s case since his arrest in March 2023 on espionage charges.",2024-06-17,"Ivan Nechepurenko","Russia Sets Date for Start of Evan Gershkovich’s Trial. The announcement of a hearing next week is the most significant movement in the Wall Street Journal reporter’s case since his arrest in March 2023 on espionage charges."
4027,-2,"Who Owns Alexander the Great? It’s a Diplomatic Minefield.","North Macedonia has claimed historical figures as part of a drive to build a national identity. That has ruffled the feathers of the Balkan nation’s neighbors.",2024-06-19,"Andrew Higgins","Who Owns Alexander the Great? It’s a Diplomatic Minefield. North Macedonia has claimed historical figures as part of a drive to build a national identity. That has ruffled the feathers of the Balkan nation’s neighbors."
4028,2,"Emerging From Orban’s Shadow, a Former Ally Tries to Steal His Limelight.","Peter Magyar, a conservative who was once a well-connected figure in the Fidesz party of Prime Minister Viktor Orban, has become an unexpected leader of the country’s opposition.",2024-06-17,"Andrew Higgins","Emerging From Orban’s Shadow, a Former Ally Tries to Steal His Limelight. Peter Magyar, a conservative who was once a well-connected figure in the Fidesz party of Prime Minister Viktor Orban, has become an unexpected leader of the country’s opposition."
4029,4,"How Two Beluga Whales Made It to Safety From Ukraine.","A pair of whales were extricated from the besieged city of Kharkiv and taken to an aquarium in Spain with help from experts around the world.",2024-06-19,"Marc Santora and Emily Anthes","How Two Beluga Whales Made It to Safety From Ukraine. A pair of whales were extricated from the besieged city of Kharkiv and taken to an aquarium in Spain with help from experts around the world."
4030,-3,"Putin Threatens to Arm North Korea, Escalating Tension With West Over Ukraine.","The Russian leader issued the warning at the end of a trip to Asia, during which he signed a mutual defense pact with North Korea’s leader, Kim Jong-un.",2024-06-20,"Paul Sonne","Putin Threatens to Arm North Korea, Escalating Tension With West Over Ukraine. The Russian leader issued the warning at the end of a trip to Asia, during which he signed a mutual defense pact with North Korea’s leader, Kim Jong-un."
